Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 14 01:46:06 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------+--------+-------------+
| Net Name                               | Fanout | Driver Type |
+----------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_7[1]              |     49 | LUT6        |
| muon_sorter_1/max_pt_13[9]             |     47 | LUT6        |
| muon_sorter_1/max_pt_8[14]             |     43 | LUT6        |
| muon_sorter_1/max_pt_13_1_reto[4]      |     38 | FDRE        |
| muon_sorter_1/max_pt_14[11]            |     38 | LUT6        |
| muon_sorter_1/max_pt_14[15]            |     38 | LUT6        |
| muon_sorter_1/max_pt_3[7]              |     38 | LUT6        |
| muon_sorter_1/max_pt_10_1[4]           |     37 | LUT6        |
| muon_sorter_1/max_pt_12_0[4]           |     37 | LUT6        |
| muon_sorter_1/max_pt_12_1[4]           |     37 | LUT5        |
| muon_sorter_1/max_pt_14[10]            |     37 | LUT6        |
| muon_sorter_1/max_pt_14[13]            |     37 | LUT6        |
| muon_sorter_1/max_pt_9[1]              |     37 | LUT6        |
| muon_sorter_1/max_pt_13[7]             |     36 | LUT6        |
| muon_sorter_1/max_pt_14[0]             |     36 | LUT6        |
| muon_sorter_1/max_pt_14[6]             |     36 | LUT6        |
| muon_sorter_1/max_pt_11_1[4]           |     35 | LUT5        |
| muon_sorter_1/max_pt_4_0[4]            |     35 | LUT6        |
| muon_sorter_1/max_pt_4_1[4]            |     35 | LUT5        |
| muon_sorter_1/max_pt_5[8]              |     35 | LUT5        |
| muon_sorter_1/max_pt_8[15]             |     35 | LUT5        |
| muon_sorter_1/max_pt_8[6]              |     35 | LUT6        |
| muon_sorter_1/max_pt_4_2[4]            |     34 | LUT4        |
| muon_sorter_1/max_pt_5[10]             |     34 | LUT6        |
| muon_sorter_1/max_pt_5[11]             |     34 | LUT5        |
| muon_sorter_1/max_pt_5[7]              |     33 | LUT6        |
| muon_sorter_1/max_pt_8_1[4]            |     33 | LUT5        |
| muon_sorter_1/max_pt_10[7]             |     32 | LUT6        |
| muon_sorter_1/max_pt_14[14]            |     32 | LUT6        |
| muon_sorter_1/max_pt_14[4]             |     32 | LUT4        |
| muon_sorter_1/max_pt_14_1[2]           |     32 | LUT5        |
| muon_sorter_1/max_pt_5[15]             |     32 | LUT6        |
